"Symbol","Name","Category","Issuing Symbol","Country of incorporation","GICS Sector","Market cap","Average Volume","Action"
"BABA","Alibaba Group Holding Ltd ADRs","ADRs","Privately held","","Consumer Discretionary","$311,212,887,020","25,211,774","Analyze"
"JD","JD.com Inc ADRs","ADRs","Privately held","","Consumer Discretionary","$102,440,366,354","11,618,861","Analyze"
"NTES","NetEase Inc ADRs","ADRs","Privately held","Cayman Islands","Communication Services","$65,185,772,868","3,813,880","Analyze"
"PDD","Pinduoduo Inc. ADRs","ADRs","Privately held","","Consumer Discretionary","$65,147,057,710","8,687,029","Analyze"
"BIDU","Baidu Inc ADRs of Class A","ADRs","Privately held","Cayman Islands","Communication Services","$49,068,504,000","3,605,818","Analyze"
"NIO","NIO Inc. ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$46,190,513,256","52,426,971","Analyze"
"XPEV","XPeng Inc. ADRs of Class A","ADRs","Privately held","USA","Consumer Discretionary","$29,542,298,010","12,246,979","Analyze"
"BGNE","BeiGene ADRs","ADRs","HK:6160","","Health Care","$27,702,937,953","396,306","Analyze"
"LI","Li Auto Inc. ADRs of Class A","ADRs","Privately held","","Consumer Discretionary","$26,784,250,317","9,912,103","Analyze"
"DIDI","DiDi Global Inc. ADRs of Class A","ADRs","Privately held","","Industrials","$23,423,971,950","23,562,930","Analyze"
"YUMC","Yum China Holdings Inc","Common stocks","","USA","Consumer Discretionary","$20,507,278,845","2,388,786","Analyze"
"BEKE","KE Holdings Inc ADRs of Class A","ADRs","Privately held","","Real Estate","$17,709,911,020","13,500,583","Analyze"
"ZTO","ZTO Express ADRs of Class A","ADRs","Privately held","","Industrials","$16,699,429,690","3,660,823","Analyze"
"BILI","Bilibili Inc. ADRs","ADRs","Privately held","","Communication Services","$15,312,877,145","6,575,100","Analyze"
"TCOM","Trip.com Group Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$14,846,359,835","8,133,976","Analyze"
"LU","Lufax Holding Ltd ADRs","ADRs","Privately held","","Financials","$13,542,656,160","9,412,972","Analyze"
"LFC","China Life Insurance Co Ltd ADRs","ADRs","HK:2628","China","Financials","$12,456,526,950","733,316","Analyze"
"SNP","China Petroleum & Chemical Corp ADRs","ADRs","HK:0386","China","Energy","$12,027,034,956","122,568","Analyze"
"HTHT","Huazhu Group Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$11,932,839,078","1,476,475","Analyze"
"BZ","Kanzhun Ltd ADRs of Class A","ADRs","Privately held","","Communication Services","$11,897,131,967","4,601,523","Analyze"
"TME","Tencent Music Entertainment Group  ADRs","ADRs","Privately held","","Communication Services","$10,585,253,775","14,500,420","Analyze"
"PTR","PetroChina Co Ltd ADRs","ADRs","HK:0857","China","Energy","$9,473,406,100","148,634","Analyze"
"YMM","Full Truck Alliance Co. Ltd. ADRs of Class A","ADRs","Privately held","","Information Technology","$8,289,167,119","6,592,594","Analyze"
"GDS","GDS Holdings ADRs","ADRs","Privately held","","Information Technology","$8,040,900,990","1,308,768","Analyze"
"LEGN","Legend Biotech Corporation ADRs","ADRs","Privately held","","Health Care","$6,996,924,221","969,670","Analyze"
"WB","Weibo Corp ADRs","ADRs","Privately held","","Communication Services","$6,661,270,000","2,056,348","Analyze"
"ZLAB","Zai Lab Limited ADRs","ADRs","Privately held","Cayman Islands","Health Care","$6,308,988,142","829,037","Analyze"
"HCM","Hutchison China Meditech ADRs","ADRs","LN:HCM","Cayman Islands","Health Care","$6,021,833,236","267,946","Analyze"
"VIPS","Vipshop Holdings Ltd ADRs","ADRs","Privately held","Cayman Islands","Consumer Discretionary","$4,678,102,689","9,217,453","Analyze"
"RLX","RLX Technology Inc. ADRs of class A","ADRs","Privately held","","Consumer Staples","$3,829,527,496","15,906,835","Analyze"
